,Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,Cost Matrix(Risk)
934,<0 DM,12,existing credits paid back duly till now,radio/television,1498,<100 DM,1<= < 4 years,4,female:divorced/separated/married,none,1,car or other,23,bank,own,1,skilled employee / official,1,none,yes,Good Risk
935,0 <= <200 DM,30,delay in paying off,radio/television,1919,100 <= <500 DM,<1 years,4,male:single,none,3,unknown / no property,30,store,own,2,management/ highly qualified employee,1,none,yes,Bad Risk
936,>= 200 DM ,9,existing credits paid back duly till now,radio/television,745,<100 DM,1<= < 4 years,3,female:divorced/separated/married,none,2,real estate,28,none,own,1,unskilled - resident,1,none,yes,Bad Risk
937,0 <= <200 DM,6,existing credits paid back duly till now,radio/television,2063,<100 DM,<1 years,4,male:married/widowed,none,3,car or other,30,none,rent,1,management/ highly qualified employee,1,yes,yes,Good Risk
938,0 <= <200 DM,60,existing credits paid back duly till now,education,6288,<100 DM,1<= < 4 years,4,male:single,none,4,unknown / no property,42,none,for free,1,skilled employee / official,1,none,yes,Bad Risk
939,no checking account,24,critical account,car (used),6842,no savings account,1<= < 4 years,2,male:single,none,4,savings agreement/life insurance,46,none,own,2,management/ highly qualified employee,2,yes,yes,Good Risk
940,no checking account,12,existing credits paid back duly till now,car (new),3527,no savings account,<1 years,2,male:single,none,3,savings agreement/life insurance,45,none,own,1,management/ highly qualified employee,2,yes,yes,Good Risk
941,no checking account,10,existing credits paid back duly till now,car (new),1546,<100 DM,1<= < 4 years,3,male:single,none,2,real estate,31,none,own,1,unskilled - resident,2,none,no,Good Risk
942,no checking account,24,existing credits paid back duly till now,furniture/equipment,929,no savings account,4<= <7 years,4,male:single,none,2,car or other,31,store,own,1,skilled employee / official,1,yes,yes,Good Risk
943,no checking account,4,critical account,car (new),1455,<100 DM,4<= <7 years,2,male:single,none,1,real estate,42,none,own,3,unskilled - resident,2,none,yes,Good Risk
944,<0 DM,15,existing credits paid back duly till now,furniture/equipment,1845,<100 DM,<1 years,4,female:divorced/separated/married,guarantor,1,savings agreement/life insurance,46,none,rent,1,skilled employee / official,1,none,yes,Good Risk
945,0 <= <200 DM,48,no credits taken,car (new),8358,500 <= < 1000 DM,<1 years,1,female:divorced/separated/married,none,1,car or other,30,none,own,2,skilled employee / official,1,none,yes,Good Risk
946,<0 DM,24,all credits at this bank paid back duly,furniture/equipment,3349,500 <= < 1000 DM,<1 years,4,male:single,none,4,unknown / no property,30,none,for free,1,skilled employee / official,2,yes,yes,Bad Risk
947,no checking account,12,existing credits paid back duly till now,car (new),2859,no savings account,unemployed,4,male:single,none,4,unknown / no property,38,none,own,1,management/ highly qualified employee,1,yes,yes,Good Risk
948,no checking account,18,existing credits paid back duly till now,furniture/equipment,1533,<100 DM,<1 years,4,male:married/widowed,co-applicant,1,savings agreement/life insurance,43,none,own,1,unskilled - resident,2,none,yes,Bad Risk
949,no checking account,24,existing credits paid back duly till now,radio/television,3621,100 <= <500 DM,>=7 years,2,male:single,none,4,car or other,31,none,own,2,skilled employee / official,1,none,yes,Bad Risk
950,0 <= <200 DM,18,critical account,business,3590,<100 DM,unemployed,3,male:married/widowed,none,3,car or other,40,none,own,3,unemployed/ unskilled  - non-resident,2,yes,yes,Good Risk
951,<0 DM,36,delay in paying off,business,2145,<100 DM,4<= <7 years,2,male:single,none,1,car or other,24,none,own,2,skilled employee / official,1,yes,yes,Bad Risk
952,0 <= <200 DM,24,existing credits paid back duly till now,car (used),4113,500 <= < 1000 DM,<1 years,3,female:divorced/separated/married,none,4,car or other,28,none,rent,1,skilled employee / official,1,none,yes,Bad Risk
953,no checking account,36,existing credits paid back duly till now,furniture/equipment,10974,<100 DM,unemployed,4,female:divorced/separated/married,none,2,car or other,26,none,own,2,management/ highly qualified employee,1,yes,yes,Bad Risk
954,<0 DM,12,existing credits paid back duly till now,car (new),1893,<100 DM,1<= < 4 years,4,female:divorced/separated/married,guarantor,4,savings agreement/life insurance,29,none,own,1,skilled employee / official,1,yes,yes,Good Risk
955,<0 DM,24,critical account,radio/television,1231,>= 1000 DM,>=7 years,4,female:divorced/separated/married,none,4,savings agreement/life insurance,57,none,rent,2,management/ highly qualified employee,1,yes,yes,Good Risk
956,>= 200 DM ,30,critical account,radio/television,3656,no savings account,>=7 years,4,male:single,none,4,savings agreement/life insurance,49,store,own,2,unskilled - resident,1,none,yes,Good Risk
957,0 <= <200 DM,9,critical account,radio/television,1154,<100 DM,>=7 years,2,male:single,none,4,real estate,37,none,own,3,unskilled - resident,1,none,yes,Good Risk
958,<0 DM,28,existing credits paid back duly till now,car (new),4006,<100 DM,1<= < 4 years,3,male:single,none,2,car or other,45,none,own,1,unskilled - resident,1,none,yes,Bad Risk
959,0 <= <200 DM,24,existing credits paid back duly till now,furniture/equipment,3069,100 <= <500 DM,>=7 years,4,male:single,none,4,unknown / no property,30,none,for free,1,skilled employee / official,1,none,yes,Good Risk
960,no checking account,6,critical account,radio/television,1740,<100 DM,>=7 years,2,male:married/widowed,none,2,real estate,30,none,rent,2,skilled employee / official,1,none,yes,Good Risk
961,0 <= <200 DM,21,delay in paying off,car (new),2353,<100 DM,1<= < 4 years,1,male:divorced/separated,none,4,savings agreement/life insurance,47,none,own,2,skilled employee / official,1,none,yes,Good Risk
962,no checking account,15,existing credits paid back duly till now,car (new),3556,no savings account,1<= < 4 years,3,male:single,none,2,unknown / no property,29,none,own,1,skilled employee / official,1,none,yes,Good Risk
963,no checking account,24,existing credits paid back duly till now,radio/television,2397,500 <= < 1000 DM,>=7 years,3,male:single,none,2,car or other,35,bank,own,2,skilled employee / official,1,yes,yes,Bad Risk
964,0 <= <200 DM,6,existing credits paid back duly till now,repairs,454,<100 DM,<1 years,3,male:married/widowed,none,1,savings agreement/life insurance,22,none,own,1,unskilled - resident,1,none,yes,Good Risk
965,0 <= <200 DM,30,existing credits paid back duly till now,radio/television,1715,no savings account,1<= < 4 years,4,female:divorced/separated/married,none,1,car or other,26,none,own,1,skilled employee / official,1,none,yes,Good Risk
966,0 <= <200 DM,27,critical account,radio/television,2520,500 <= < 1000 DM,1<= < 4 years,4,male:single,none,2,savings agreement/life insurance,23,none,own,2,unskilled - resident,1,none,yes,Bad Risk
967,no checking account,15,existing credits paid back duly till now,radio/television,3568,<100 DM,>=7 years,4,female:divorced/separated/married,none,2,car or other,54,bank,rent,1,management/ highly qualified employee,1,yes,yes,Good Risk
968,no checking account,42,existing credits paid back duly till now,radio/television,7166,no savings account,4<= <7 years,2,male:married/widowed,none,4,savings agreement/life insurance,29,none,rent,1,skilled employee / official,1,yes,yes,Good Risk
969,<0 DM,11,critical account,car (new),3939,<100 DM,1<= < 4 years,1,male:single,none,2,real estate,40,none,own,2,unskilled - resident,2,none,yes,Good Risk
970,0 <= <200 DM,15,existing credits paid back duly till now,repairs,1514,100 <= <500 DM,1<= < 4 years,4,male:single,guarantor,2,real estate,22,none,own,1,skilled employee / official,1,none,yes,Good Risk
971,no checking account,24,existing credits paid back duly till now,car (new),7393,<100 DM,1<= < 4 years,1,male:single,none,4,savings agreement/life insurance,43,none,own,1,unskilled - resident,2,none,yes,Good Risk
972,<0 DM,24,all credits at this bank paid back duly,car (new),1193,<100 DM,unemployed,1,female:divorced/separated/married,co-applicant,4,unknown / no property,29,none,rent,2,unemployed/ unskilled  - non-resident,1,none,yes,Bad Risk
973,<0 DM,60,existing credits paid back duly till now,business,7297,<100 DM,>=7 years,4,male:single,co-applicant,4,unknown / no property,36,none,rent,1,skilled employee / official,1,none,yes,Bad Risk
974,no checking account,30,critical account,radio/television,2831,<100 DM,1<= < 4 years,4,female:divorced/separated/married,none,2,car or other,33,none,own,1,skilled employee / official,1,yes,yes,Good Risk
975,>= 200 DM ,24,existing credits paid back duly till now,radio/television,1258,500 <= < 1000 DM,1<= < 4 years,3,female:divorced/separated/married,none,3,car or other,57,none,own,1,unskilled - resident,1,none,yes,Good Risk
976,0 <= <200 DM,6,existing credits paid back duly till now,radio/television,753,<100 DM,1<= < 4 years,2,female:divorced/separated/married,guarantor,3,real estate,64,none,own,1,skilled employee / official,1,none,yes,Good Risk
977,0 <= <200 DM,18,delay in paying off,business,2427,no savings account,>=7 years,4,male:single,none,2,savings agreement/life insurance,42,none,own,2,skilled employee / official,1,none,yes,Good Risk
978,no checking account,24,delay in paying off,car (new),2538,<100 DM,>=7 years,4,male:single,none,4,car or other,47,none,own,2,unskilled - resident,2,none,yes,Bad Risk
979,0 <= <200 DM,15,all credits at this bank paid back duly,car (new),1264,100 <= <500 DM,1<= < 4 years,2,male:married/widowed,none,2,savings agreement/life insurance,25,none,rent,1,skilled employee / official,1,none,yes,Bad Risk
980,0 <= <200 DM,30,critical account,furniture/equipment,8386,<100 DM,4<= <7 years,2,male:single,none,2,savings agreement/life insurance,49,none,own,1,skilled employee / official,1,none,yes,Bad Risk
981,no checking account,48,existing credits paid back duly till now,business,4844,<100 DM,unemployed,3,male:single,none,2,car or other,33,bank,rent,1,management/ highly qualified employee,1,yes,yes,Bad Risk
982,>= 200 DM ,21,existing credits paid back duly till now,car (new),2923,100 <= <500 DM,1<= < 4 years,1,female:divorced/separated/married,none,1,car or other,28,bank,own,1,management/ highly qualified employee,1,yes,yes,Good Risk
983,<0 DM,36,existing credits paid back duly till now,car (used),8229,<100 DM,1<= < 4 years,2,male:single,none,2,savings agreement/life insurance,26,none,own,1,skilled employee / official,2,none,yes,Bad Risk
984,no checking account,24,critical account,furniture/equipment,2028,<100 DM,4<= <7 years,2,male:single,none,2,savings agreement/life insurance,30,none,own,2,unskilled - resident,1,none,yes,Good Risk
985,<0 DM,15,critical account,furniture/equipment,1433,<100 DM,1<= < 4 years,4,female:divorced/separated/married,none,3,savings agreement/life insurance,25,none,rent,2,skilled employee / official,1,none,yes,Good Risk
986,>= 200 DM ,42,no credits taken,business,6289,<100 DM,<1 years,2,male:divorced/separated,none,1,savings agreement/life insurance,33,none,own,2,skilled employee / official,1,none,yes,Good Risk
987,no checking account,13,existing credits paid back duly till now,radio/television,1409,100 <= <500 DM,unemployed,2,female:divorced/separated/married,none,4,real estate,64,none,own,1,skilled employee / official,1,none,yes,Good Risk
988,<0 DM,24,existing credits paid back duly till now,car (used),6579,<100 DM,unemployed,4,male:single,none,2,unknown / no property,29,none,for free,1,management/ highly qualified employee,1,yes,yes,Good Risk
989,0 <= <200 DM,24,critical account,radio/television,1743,<100 DM,>=7 years,4,male:single,none,2,savings agreement/life insurance,48,none,own,2,unskilled - resident,1,none,yes,Good Risk
990,no checking account,12,critical account,education,3565,no savings account,<1 years,2,male:single,none,1,savings agreement/life insurance,37,none,own,2,unskilled - resident,2,none,yes,Good Risk
991,no checking account,15,all credits at this bank paid back duly,radio/television,1569,100 <= <500 DM,>=7 years,4,male:single,none,4,car or other,34,bank,own,1,unskilled - resident,2,none,yes,Good Risk
992,<0 DM,18,existing credits paid back duly till now,radio/television,1936,no savings account,4<= <7 years,2,male:married/widowed,none,4,car or other,23,none,rent,2,unskilled - resident,1,none,yes,Good Risk
993,<0 DM,36,existing credits paid back duly till now,furniture/equipment,3959,<100 DM,unemployed,4,male:single,none,3,savings agreement/life insurance,30,none,own,1,management/ highly qualified employee,1,yes,yes,Good Risk
994,no checking account,12,existing credits paid back duly till now,car (new),2390,no savings account,>=7 years,4,male:single,none,3,car or other,50,none,own,1,skilled employee / official,1,yes,yes,Good Risk
995,no checking account,12,existing credits paid back duly till now,furniture/equipment,1736,<100 DM,4<= <7 years,3,female:divorced/separated/married,none,4,real estate,31,none,own,1,unskilled - resident,1,none,yes,Good Risk
996,<0 DM,30,existing credits paid back duly till now,car (used),3857,<100 DM,1<= < 4 years,4,male:divorced/separated,none,4,savings agreement/life insurance,40,none,own,1,management/ highly qualified employee,1,yes,yes,Good Risk
997,no checking account,12,existing credits paid back duly till now,radio/television,804,<100 DM,>=7 years,4,male:single,none,4,car or other,38,none,own,1,skilled employee / official,1,none,yes,Good Risk
998,<0 DM,45,existing credits paid back duly till now,radio/television,1845,<100 DM,1<= < 4 years,4,male:single,none,4,unknown / no property,23,none,for free,1,skilled employee / official,1,yes,yes,Bad Risk
999,0 <= <200 DM,45,critical account,car (used),4576,100 <= <500 DM,unemployed,3,male:single,none,4,car or other,27,none,own,1,skilled employee / official,1,none,yes,Good Risk
